frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1946","324.924698145",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2212",,,,0
"1947","324.924754763",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1948","324.929639521",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"189",,,,0
"1949","324.929919426",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1950","324.933014102",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"9409",,,,0
"1951","324.933079011",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1952","324.935355372",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"12148",,,,0
"1953","324.935504627",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"11025",,,,0
"1954","324.935887664",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1955","324.937176947",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1043",,,,0
"1956","324.942021579",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"17057",,,,0
"1957","324.942071348",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1958","324.942310387",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"16708",,,,0
"1959","324.942594557",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1960","324.944381214",,,,"10.0.3.15","208.67.220.220",,,,,"35895","53","77",,,,0
"1961","324.944417434",,,,"10.0.3.15","208.67.220.220",,,,,"35895","53","77",,,,0
"1962","324.945836786",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"6920",,,,0
"1963","324.945900003",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1964","324.946061035",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"3716",,,,0
"1965","324.946082975",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1966","324.946820860",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"197",,,,0
"1967","324.947055863",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1968","324.948657015",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2459",,,,0
"1969","324.948685304",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1970","324.948922700",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"13758",,,,0
"1971","324.949000737",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1380",,,,0
"1972","324.950660981",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1973","324.951065687",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"203",,,,0
"1974","324.951283186",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"62",,,,0
"1975","324.954906309",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"9932",,,,0
"1976","324.954941978",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1977","324.964896338",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1991",,,,0
"1978","324.964927070",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1979","324.981747742",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"149",,,,0
"1980","324.982016662",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"62",,,,0
"1981","324.982584593",,,,"208.67.220.220","10.0.3.15",,,,,"53","35895","183",,,,0
"1982","324.988476546",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"5489",,,,0
"1983","324.988554243",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1984","324.990458902",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1598",,,,0
"1985","324.990493409",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"1986","324.997097321",,,,"208.67.220.220","10.0.3.15",,,,,"53","35895","343",,,,0
