frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"111","104.571173314",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"112","104.581311438",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"113","104.581358526",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"114","104.591585728",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"115","104.591630802",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"116","114.601951121",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"117","114.602025631",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"118","114.612180328",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"119","114.612230031",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"120","114.622445278",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"121","114.622491325",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"122","115.272947558",,,,,,,,,,,,"64",,,,3
"123","124.633337620",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"124","124.633381562",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"125","124.646132594",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"126","124.646192727",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"127","124.658019778",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"128","124.658084048",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"129","134.673317948",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"130","134.673591360",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"131","134.683738071",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"132","134.683779558",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"133","134.693975221",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"134","134.694049971",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"135","144.704297273",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"136","144.704349942",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"137","144.714490190",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"138","144.714545414",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"139","144.724740465",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"140","144.724809324",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
