frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"1","0.000000000",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"2","0.002198658",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,
"3","2.095687380",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"4","4.301382726",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"5","6.302166021",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"6","6.440459792",,,,,,,,,,,,"64",,,
"7","8.311239354",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"8","10.321035590",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"9","10.323200127",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,
"10","12.327234034",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"11","14.332952817",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"12","16.351603219",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"13","18.385407898",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"14","20.398335348",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"15","20.399938312",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,
"16","22.412480017",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"17","24.416595280",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"18","25.035968960",,,,,,,,,,,,"64",,,
"19","26.418029502",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"20","28.434605421",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"21","30.434782337",,,,,,"08:00:27:c5:8a:4d","ff:ff:ff:ff:ff:ff",,,,,"44",,,
"22","30.436634372",,,,,,"08:00:27:7a:78:e3","00:00:00:00:00:00",,,,,"62",,,
